date,country,new_cases_avg_per_pop,new_deaths_avg_per_pop
2022-04-15,Democratic Republic of Congo,0.42527138755454447,0
2022-04-16,Democratic Republic of Congo,0.42527138755454447,0
2022-04-17,Democratic Republic of Congo,0.42527138755454447,0
2022-04-18,Democratic Republic of Congo,0.42527138755454447,0
2022-04-19,Democratic Republic of Congo,0.42527138755454447,0
2022-04-20,Democratic Republic of Congo,0.42527138755454447,0
2022-04-21,Democratic Republic of Congo,0,0
2022-04-22,Democratic Republic of Congo,0,0
2022-04-01,Denmark,660.8243350459736,4.447926988335176
2022-04-02,Denmark,624.7002871296603,3.9810175254712625
2022-04-03,Denmark,593.2699080242421,4.349630259311194
2022-04-04,Denmark,566.0908624491111,4.718242993151126
2022-04-05,Denmark,538.2483139530683,5.2343008205270305
2022-04-06,Denmark,508.8330177926418,3.5632564271193403
2022-04-07,Denmark,479.73718600154314,3.4158113335833673
2022-04-08,Denmark,471.87344767962463,3.3912371513273722
2022-04-09,Denmark,462.16664568850643,3.440385515839363
2022-04-10,Denmark,453.36908844086,3.5878306093753354
2022-04-11,Denmark,442.04039042084617,3.538682244863345
2022-04-12,Denmark,425.3299464867692,3.29294042230339
2022-04-13,Denmark,401.8124540677815,3.2437920577913992
2022-04-14,Denmark,389.82025312685585,3.0471985997434357
2022-04-15,Denmark,359.5202864052134,2.7768825949274856
2022-04-16,Denmark,333.7911175831862,2.457418225599545
2022-04-17,Denmark,330.9650866237467,2.187102220783595
2022-04-18,Denmark,286.6086876516749,1.8676378514556542
2022-04-19,Denmark,294.7673161606654,2.1379538562716043
2022-04-20,Denmark,297.07728929272895,2.088805491759613
2022-04-21,Denmark,291.74469174317795,2.1133796740156088
2022-04-22,Denmark,296.34006382504913,2.1133796740156088
2022-04-01,Djibouti,0.9978078162277476,0
2022-04-02,Djibouti,1.1403517899745688,0
2022-04-03,Djibouti,1.4254397374682108,0
2022-04-04,Djibouti,0.7127198687341054,0
2022-04-05,Djibouti,0.8552638424809265,0
2022-04-06,Djibouti,0.8552638424809265,0
2022-04-07,Djibouti,0.8552638424809265,0
2022-04-08,Djibouti,0.8552638424809265,0
2022-04-09,Djibouti,0.8552638424809265,0
2022-04-10,Djibouti,0.5701758949872844,0
2022-04-11,Djibouti,0.7127198687341054,0
2022-04-12,Djibouti,0.5701758949872844,0
2022-04-13,Djibouti,0.9978078162277476,0
2022-04-14,Djibouti,0.7127198687341054,0
2022-04-15,Djibouti,0.7127198687341054,0
2022-04-16,Djibouti,0.5701758949872844,0
2022-04-17,Djibouti,0.5701758949872844,0
2022-04-18,Djibouti,0.42763192124046323,0
2022-04-19,Djibouti,0.42763192124046323,0
2022-04-20,Djibouti,0,0
2022-04-21,Djibouti,1.8530716587086742,0
2022-04-22,Djibouti,1.8530716587086742,0
2022-04-01,Dominica,205.85743580810922,0
2022-04-02,Dominica,205.85743580810922,0
2022-04-03,Dominica,205.85743580810922,0
2022-04-04,Dominica,170.22826422593647,0
2022-04-05,Dominica,160.33127211977737,0
2022-04-06,Dominica,114.80510843144553,0
2022-04-07,Dominica,186.063451595791,0
2022-04-08,Dominica,122.7227021163728,0
2022-04-09,Dominica,122.7227021163728,0
2022-04-10,Dominica,122.7227021163728,0
2022-04-11,Dominica,122.7227021163728,0
2022-04-12,Dominica,166.2694673834728,0
2022-04-13,Dominica,176.1664594896319,0
2022-04-14,Dominica,69.27894474311367,0
2022-04-15,Dominica,69.27894474311367,0
2022-04-16,Dominica,69.27894474311367,0
2022-04-17,Dominica,69.27894474311367,0
2022-04-18,Dominica,69.27894474311367,0
2022-04-19,Dominica,13.855788948622735,0
2022-04-20,Dominica,3.9587968424636384,0
2022-04-21,Dominica,45.52616368833184,0
2022-04-22,Dominica,45.52616368833184,0
2022-04-01,Dominican Republic,5.960144137934795,0
2022-04-02,Dominican Republic,3.769106467971894,0
2022-04-03,Dominican Republic,3.769106467971894,0
2022-04-04,Dominican Republic,3.899525376898257,0
2022-04-05,Dominican Republic,5.334133375088252,0
2022-04-06,Dominican Republic,3.899525376898257,0
2022-04-07,Dominican Republic,5.164588793483979,0
2022-04-08,Dominican Republic,3.7299807952939847,0
2022-04-09,Dominican Republic,3.7299807952939847,0
2022-04-10,Dominican Republic,5.229798247947161,0
2022-04-11,Dominican Republic,4.199488867428892,0
2022-04-12,Dominican Republic,4.003860504039348,0
2022-04-13,Dominican Republic,4.003860504039348,0
2022-04-14,Dominican Republic,3.2213470504811688,0
2022-04-15,Dominican Republic,3.2213470504811688,0
2022-04-16,Dominican Republic,4.134279412965711,0
2022-04-17,Dominican Republic,2.6344619603125348,0
2022-04-18,Dominican Republic,3.364807850300168,0
2022-04-19,Dominican Republic,2.125828215499719,0
2022-04-20,Dominican Republic,2.125828215499719,0
2022-04-21,Dominican Republic,3.7951902497571663,0.01304189089263631
2022-04-22,Dominican Republic,5.9471022470421575,0.01304189089263631
2022-04-01,Ecuador,20.69169550979347,0.023957964696789038
2022-04-02,Ecuador,20.69169550979347,0.023957964696789038
2022-04-03,Ecuador,20.69169550979347,0.023957964696789038
2022-04-04,Ecuador,40.10563290242485,0.24756563520015343
2022-04-05,Ecuador,24.868367355267022,0.22360767050336436
2022-04-06,Ecuador,19.413937392631382,0.22360767050336436
2022-04-07,Ecuador,28.01484671877865,0.31943952929052055
2022-04-08,Ecuador,28.01484671877865,0.31943952929052055
2022-04-09,Ecuador,28.01484671877865,0.31943952929052055
2022-04-10,Ecuador,28.01484671877865,0.31943952929052055
2022-04-11,Ecuador,23.494777379317785,0.4711733057035178
2022-04-12,Ecuador,23.494777379317785,0.4711733057035178
2022-04-13,Ecuador,26.066265590106475,0.5111032468648328
2022-04-14,Ecuador,17.46535626395921,0.41527138807767666
2022-04-15,Ecuador,17.46535626395921,0.41527138807767666
2022-04-16,Ecuador,17.46535626395921,0.41527138807767666
2022-04-17,Ecuador,17.46535626395921,0.41527138807767666
2022-04-18,Ecuador,12.945286924498344,0.15971976464526028
2022-04-19,Ecuador,13.272712442021128,0.15971976464526028
2022-04-20,Ecuador,10.701224231232437,0.1197898234839452
2022-04-21,Ecuador,12.657791348136875,0.2395796469678904
2022-04-22,Ecuador,14.614358465041315,0.3593694704518356
2022-04-01,Egypt,5.994725006473584,0.07673248008286188
2022-04-02,Egypt,5.994725006473584,0.07673248008286188
2022-04-03,Egypt,5.994725006473584,0.07673248008286188
2022-04-04,Egypt,5.361682045789974,0.07673248008286188
2022-04-05,Egypt,5.361682045789974,0.07673248008286188
2022-04-06,Egypt,5.361682045789974,0.07673248008286188
2022-04-07,Egypt,5.361682045789974,0.07673248008286188
2022-04-08,Egypt,5.361682045789974,0.07673248008286188
2022-04-09,Egypt,5.361682045789974,0.07673248008286188
2022-04-10,Egypt,5.361682045789974,0.07673248008286188
2022-04-11,Egypt,3.836624004143094,0.06714092007250413
2022-04-12,Egypt,3.836624004143094,0.06714092007250413
2022-04-13,Egypt,3.836624004143094,0.06714092007250413
2022-04-14,Egypt,3.836624004143094,0.06714092007250413
2022-04-15,Egypt,3.836624004143094,0.06714092007250413
2022-04-16,Egypt,3.836624004143094,0.06714092007250413
2022-04-17,Egypt,3.836624004143094,0.06714092007250413
2022-04-18,Egypt,0,0
2022-04-19,Egypt,5.025977445427452,0.12469028013465054
2022-04-20,Egypt,10.051954890854905,0.24938056026930108
2022-04-21,Egypt,15.077932336282359,0.37407084040395167
2022-04-22,Egypt,20.10390978170981,0.49876112053860217
2022-04-01,El Salvador,0,0.08766258670377715
2022-04-02,El Salvador,0,0.06574694002783286
2022-04-03,El Salvador,11.352304978139141,0.08766258670377715
2022-04-04,El Salvador,11.352304978139141,0.06574694002783286
2022-04-05,El Salvador,11.352304978139141,0.06574694002783286
2022-04-06,El Salvador,11.352304978139141,0.06574694002783286
2022-04-07,El Salvador,11.352304978139141,0.043831293351888574
2022-04-08,El Salvador,11.352304978139141,0.043831293351888574
2022-04-09,El Salvador,19.57067248161825,0.043831293351888574
2022-04-10,El Salvador,11.374220624815086,0.043831293351888574
2022-04-11,El Salvador,11.374220624815086,0.043831293351888574
2022-04-12,El Salvador,11.374220624815086,0.06574694002783286
2022-04-13,El Salvador,11.374220624815086,0.06574694002783286
2022-04-14,El Salvador,11.374220624815086,0.06574694002783286
2022-04-15,El Salvador,11.374220624815086,0.08766258670377715
2022-04-16,El Salvador,3.1558531213359777,0.08766258670377715
2022-04-17,El Salvador,0,0.06574694002783286
2022-04-18,El Salvador,0,0.06574694002783286
2022-04-19,El Salvador,0,0.043831293351888574
2022-04-20,El Salvador,0,0.043831293351888574
2022-04-21,El Salvador,0,0.06574694002783286
2022-04-22,El Salvador,0,0.043831293351888574
2022-04-01,Equatorial Guinea,0.09852957419360686,0
2022-04-02,Equatorial Guinea,0.09852957419360686,0
2022-04-03,Equatorial Guinea,0.09852957419360686,0
2022-04-04,Equatorial Guinea,0,0
2022-04-05,Equatorial Guinea,0,0
2022-04-06,Equatorial Guinea,0.09852957419360686,0
2022-04-07,Equatorial Guinea,0.09852957419360686,0
2022-04-08,Equatorial Guinea,0.09852957419360686,0
2022-04-09,Equatorial Guinea,0.09852957419360686,0
2022-04-10,Equatorial Guinea,0.09852957419360686,0
2022-04-11,Equatorial Guinea,0.09852957419360686,0
2022-04-12,Equatorial Guinea,0.09852957419360686,0
2022-04-13,Equatorial Guinea,0.19705914838721372,0
2022-04-14,Equatorial Guinea,0.19705914838721372,0
2022-04-15,Equatorial Guinea,0.19705914838721372,0
2022-04-16,Equatorial Guinea,0.19705914838721372,0
2022-04-17,Equatorial Guinea,0.19705914838721372,0
2022-04-18,Equatorial Guinea,0.19705914838721372,0
2022-04-19,Equatorial Guinea,0.2955887225808206,0
2022-04-20,Equatorial Guinea,0.09852957419360686,0
2022-04-21,Equatorial Guinea,0.09852957419360686,0
2022-04-22,Equatorial Guinea,0.09852957419360686,0
2022-04-01,Eritrea,0.15866572281717017,0
2022-04-02,Eritrea,0.15866572281717017,0
2022-04-03,Eritrea,0.15866572281717017,0
2022-04-04,Eritrea,0.15866572281717017,0
2022-04-05,Eritrea,0.15866572281717017,0
2022-04-06,Eritrea,0.039666430704292543,0
2022-04-07,Eritrea,0,0
2022-04-08,Eritrea,0.039666430704292543,0
2022-04-09,Eritrea,0.039666430704292543,0
2022-04-10,Eritrea,0.11899929211287764,0
2022-04-11,Eritrea,0.15866572281717017,0
2022-04-12,Eritrea,0.15866572281717017,0
2022-04-13,Eritrea,0.19833215352146275,0
