date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-03-18,North America,2.209401619331996,0.0438602852005261
2020-03-18,South America,0.35421818115416936,0.006583981062345156
2020-03-18,Oceania,NA,NA
2020-03-19,Asia,0.41293770536904983,0.03194417957549272
2020-03-19,Europe,15.189202617785718,0.7146941986590317
2020-03-19,Africa,0.061134028231487406,0.0017704914479306402
2020-03-19,North America,3.2562646902720256,0.06024764450621717
2020-03-19,South America,0.5013701578975837,0.009217573487283217
2020-03-19,Oceania,NA,NA
2020-03-20,Asia,0.4401163913601331,0.03415782820825064
2020-03-20,Europe,16.82034224029115,0.8679109309947229
2020-03-20,Africa,0.07383990803428377,0.002082931115212518
2020-03-20,North America,4.723897310443475,0.08531066462080351
2020-03-20,South America,0.6633360920312744,0.013497161177807568
2020-03-20,Oceania,NA,NA
2020-03-21,Asia,0.4604081704937473,0.035356887884327844
2020-03-21,Europe,19.473180520160547,1.0852693264324365
2020-03-21,Africa,0.086025055058277,0.002916103561297525
2020-03-21,North America,6.13682506940328,0.11157863762551419
2020-03-21,South America,0.8723774907607331,0.016459952655862888
2020-03-21,Oceania,NA,NA
2020-03-22,Asia,0.5009609836410764,0.037662771876784004
2020-03-22,Europe,21.53180434244978,1.2388667214571605
2020-03-22,Africa,0.10445899542790776,0.003957569118903785
2020-03-22,North America,8.388159049311604,0.14194345045664764
2020-03-22,South America,1.22330368138373,0.023702331824442563
2020-03-22,Oceania,NA,NA
2020-03-23,Asia,0.5419134833470979,0.037847242596180504
2020-03-23,Europe,24.54646250824483,1.4429019227787268
2020-03-23,Africa,0.1351822293772924,0.004894888120749417
2020-03-23,North America,10.868434078343551,0.1831528392989002
2020-03-23,South America,1.4152267293510912,0.030615511939904975
2020-03-23,Oceania,NA,NA
2020-03-24,Asia,0.5934115591786189,0.03818543891507407
2020-03-24,Europe,27.300366732052428,1.6800547780461446
2020-03-24,Africa,0.1717376704492721,0.00531147434379192
2020-03-24,North America,13.141939191430163,0.23544779473029673
2020-03-24,South America,1.6008949953092244,0.03884548826783642
